Nombre Establecimiento,Dirección establecimiento,Teléfono 1,Teléfono 2,Actividad,Tipo de negocio,servicio Domicilio,Correo Electrónico,Número de empleados,¿Está registrado ante DIAN?,¿Está registrado ante Cámara de Comercio?,Su establecimiento se desarrolla en un domicilio:,El Canon de Arrendamiento es (COP):,Número de años en el Mercado,¿Tienen registro contable?,"Dando cumplimiento a la ley 1581/12, autorizo de manera voluntaria al Municipio de Cota el uso de mis datos personales, con estricta sujeción a estas normas y exclusivamente para temas relacionados con programas Institucionales.",¿Está afiliado a FENALCO?,De acuerdo a su actividad. ¿Usted se identifica en qué grupo?
QUICK SERVICE PASIÓN AUTOMOTRIZ SAS,KM 12.6 VARIANTE CHIA/COTA BOD6,3124953231,3002880446,Otro,CENTRO DE SERVICIO AUTOMOTRIZ,SI,quickservicepasionautomotriz@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Relax from home,Solo domicilios,3181817082,0,Otro,Estilista y manicurista,SI,Tatus_97.5@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
remontadora el vecino,calle 13 n 5 10 centro,3142700479,3193490589,reparacion y venta de calzado,No Responde,NO,molanofigeroa @gimail com,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,19,No,Acepto,No,Emprendedor
Renokwid,Km 2.5 via cota-chia,3057158638,3202075784,Otro,Mamtenimiento y reparacion de vehiculos automotores,SI,Renokwid2020@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
RENOVA INGENIERIA S.A.S.,Mall Meridiano - variante Cota - Chia,3218166801,3174423514,Otro,"Ing Ambiental, Saneamiento Básico, Derecho.",SI,comercial@renovaingenieria.com.co,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Restauración de prendas Esmeralda,Calle 11 n-9-94,3106072850,3166568937,Otro,Restauración de prendas,SI,joyapreciosa23@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Restaurante arte y sabor,Via cota chia km1,3146549546,3013564883,Restaurante,No Responde,NO,Fernandezsandramilena2018@gmail.com,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,5,No,Acepto,No,Emprendedor
Restaurante Asadero la Isla,Cra 5 # 5_28,3022281090,3133196745,Servicio restaurante,No Responde,SI,Omar1979andres@gmail.com,1 a 5,No,Sí,Arrendado,Entre 3.000.000 y 5.000.000,10,No,Acepto,No,Comerciante
Restaurante bar angelita,Carrera 2b#11-23,3219242108,3202128267,Venta de licores y cancha de tejo,No Responde,NO,monik4501@hotmail.com,1,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,5,No,Acepto,No,Comerciante
Restaurante criollos cocina de tradición,Cra 5 #12 45,3142837406,3183832681,Venta de alimentos preparados,No Responde,SI,jennycitauribe@hotmail.com,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,2,No,Acepto,No,Comerciante
Restaurante don Paisa,Km 6 vía Siberia - Cota,8642626,3106729394,Restaurante,No Responde,SI,restaurantetipicodonpaisa@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Restaurante Japonés Nahoki,Km 3 vía cota chia,3107529549,3118597652,Comida japonesa,No Responde,SI,oscartauta@hotmail.com,6 a 10,No,No,Arrendado,Entre 1.000.000 y 3.000.000,3118597652,No,Acepto,No,Comerciante
Restaurante Japonés y Muisca Daizuki,Cota vereda el Abra,3107925591,8766367,Teppanyaki a domicilio,No Responde,SI,daizuki170692@gmail.com,1 a 5,Sí,Sí,Propio,No responde,3,No,Acepto,No,Micro empresario
Restaurante la paila,Carrera 5 #9-54,3124018904,3107967526,Servicio de comidas preparadas a la mesa,No Responde,SI,Restaurantelapaila85@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,20,No,Acepto,No,Micro empresario
Restaurante la sazon de mechis,calle 10 # 5-48,3144528533,3015561786,Restaurante,No Responde,SI,jhohanaleydi9@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Restaurante La tía y el tío,"Km. 1,2 via Cota - Chia",3212029986,3114952434,Prestación de Servicios de Alimentos,No Responde,SI,krespolok99@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,20,No,Acepto,No,Micro empresario
Restaurante Metro Paisa,"km 1.5 vía Cota Chía, frente al camellón San Isidro",3192905903,3219029561,Restaurante,No Responde,SI,erika_9615@hotmail.com,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,2,No,Acepto,No,Emprendedor
RESTAURANTE MIYAKI,Cra 6n-12-89 centro,3143217441,3112896282,Restaurante,No Responde,SI,Javier.miyaki@outlook.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Restaurante Oasis,Km1 Via Cota - Chia,3203024280,3057980372,Restaurante,No Responde,SI,yann1@outlook.es,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Restaurante parador donde mary,Kl7viasiberiacota,3184091596,3102853838,Restaurante,No Responde,NO,Maryguzman199v@gmail.com,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,2,No,Acepto,No,Comerciante
Restaurante PERU SABOR YSAZON,Calle 11#2a-18,3112356734,0,Restaurante,No Responde,SI,gabriel.camero@hotmail.com,6 a 10,Sí,Sí,Propio,No responde,5,Sí,Acepto,No,Comerciante
Restaurante porton madero,Carrera 5 # 7- 35,3213032321,3124891194,Desayunos almuerzos corrientes y platos especiales,No Responde,NO,Mayerlicubidessanchez@hotmail.com,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,4,No,Acepto,No,Comerciante
restaurante pueblito Viejo,bereda pueblo biejo via suba cota,3203676754,0,restaurante,No Responde,SI,Rincónandrey410@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,30,No,Acepto,No,Comerciante
Restaurante San Miguel,Carreta 5 #16-80,8965771,3204939849,Restaurante,No Responde,SI,Jehernandez44@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Restaurante septimo arte,Calle 11#2b37,3115780903,3115780903,Restaurante,No Responde,SI,doramilena2345@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Restaurante Tipico Colonial Cota,calle 11#4-26,3007506280,3014079418,Restaurante,No Responde,SI,isabellita170514@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Restaurante yerbasanta,Carrera 5 # 4-20,3153344426,3163022436,Restaurante,No Responde,SI,yerbasanta2002@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
RI'COTTA,Carrera 5#15-01,3148667382,3204305367,Panadería,No Responde,SI,Vjimenezsaenz9@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Ropero San Mauricio,Calle 14 #4 - 42 avenida libertador,3202236852,3208390179,Venta de productos de segunda mano,No Responde,NO,maria.antonia.320223@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,0.5,No,Acepto,No,Comerciante
Rosa Pastel,Parcelas,3224408509,0,Pastelería Creativa,No Responde,SI,erikapalacioscota@gmail.com,1 a 5,No,No,Propio,No responde,1,No,Acepto,No,Emprendedor
Royal Hair Spa,Km 1 vía Cota Suba hacienda terracota,3163093932,8640850,Otro,Peluquería,SI,royalcota@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Sabor valluno,Calle 3a#11-06,3105376719,0,Preparacion de alimentos,No Responde,SI,Milenaarboleda11@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,3,Sí,Acepto,No,Micro empresario
sala de belleza JK style,carrera 5 #7- 36,3157416189,3103072491,Otro,peluquería,NO,sandra_gomez58@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Sala de Belleza unisex,Carrera 5 14a - 70,3196056358,3196056358,Otro,Sala de Belleza,NO,Estibasplasticas750@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Salon de belleza fanny,Calle13a#3-90,3023293485,3023293485,Otro,Peluqueria,NO,Fannyturmeque07@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Salsa & Aji Comidas Rápidas,Calle 13#4/33,3142556204,3023352669,Otro,Comidas Rapidas,SI,angelik.mak@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
SALSA Y AJI,Calle13#4_33,3203940229,3142556204,Otro,Comida rápida,SI,Angelik.mak@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
SALSAMENTARIA EL MANÁ,Calle 11# 3A- 26,3108581491,3126030757,Otro,SALSAMENTARIA,SI,elmanasalsamentaria@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
San Carlos,Carrera 9#14-69,8640943,0,Tienda,No Responde,NO,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
San Gabriel papelería,Carrera 5 #13 A50,3115210240,0,Papelería,No Responde,NO,No tiene,1 a 5,Sí,Sí,Arrendado,Entre 3.000.000 y 5.000.000,14,Sí,Acepto,No,Micro empresario
San Honorato Pan y Café,Cr 5 # 3 - 57,3125123222,3144187686,Producción y venta de productos de molineria y cafetería,No Responde,SI,sanhonorato@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,16,No,Acepto,No,Comerciante
San Nicolás,Calle 14#6-22,8759357,3013862391,Panadería,No Responde,SI,hector1987perez@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,10,Sí,Acepto,No,Comerciante
Santa Marta,K1 vía Cota - Chía (Diagonal a Oshiru),8642001,3144360651,Otro,Empanadas Artesanales,SI,Camivon7@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Santalupana,Variante Cota Chia km 18 Conjunto Serrato,3123503440,3138712410,Otro,Producción y Venta de accesorios religiosos,SI,natashamicolta@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Savannah,Virtuales,3203561181,3228512064,Ventas Productos de la Costa,No Responde,SI,yayi2122@hotmail.com,1 a 5,Sí,No,Propio,No responde,1,No,Acepto,No,Emprendedor
Seguridad diseño y estilos,Carrera 3 # 12-50,3107936948,0,Servicios. De decoración y diseño de interiores acabados y remodelaciones,No Responde,SI,Seguridaddisenosyestilo@gmail.com,1 a 5,No,Sí,Arrendado,Menor a 1.000.000,5,No,Acepto,No,Emprendedor
servicio aseo y limpieza gio,carrera 3era A 11-42,3142340272,3204618338,Otro,servicio de aseo y limpieza,SI,enrryluisguerrerollovera21@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Servicios Alimenticios Empresariales SAE SAS,Carrera 2 No 10 - 27 I.2,3194924590,0,Otro,Catering Empresarial,SI,saeservices01@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Servicios integrales cota,Calle 11 9-94,3103371979,0,Otro,"Préstamos servicio de diseño y mantenimiento de jardines venta de plantas por mayor servicio de domicilio Servicio de electricidad, fontanería, albañilería, plomería",SI,Servicios integrales cota 2020@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Servicios integrales en alimentos,Parque Portos sabana 80,3188270127,0,Panadería,No Responde,SI,Gerencia@serviciosintegralesenalimentos.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Servicomer,Calle13#2_52,3168371536,3215437493,Tienda,No Responde,NO,sanmaryul1@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Servidocumentos,Calle 13 # 5 - 32 Local 4,3102140788,3164291559,Internet,No Responde,SI,Servidocumentosm@gmail.com,1 a 5,No,Sí,Arrendado,Menor a 1.000.000,2,No,Acepto,No,Comerciante
Servipsico,Online,3192773658,0,Otro,Atención psicológica,SI,Servipsico.cga@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Servividrios El Diamante,Calle 11 no. 2B 27,3103075167,8776128,Otro,Vidrieria,SI,Servividrioseldiamante@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Servofrenos cota,Km 1 vía cota - chia,3208784223,3208784223,Otro,Mantenimiento de frenos de automóviles,SI,Edisonmuz@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Seven Team Seminarios y Eventos,Clle 8 # 3-19,3057301112,0,Otro,Capacitaciones,SI,seventeamsye@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Shalom,Calle 13 A 4  06,3158978645,0,Farmacias,No Responde,NO,Claudiadiazmar@gmail. Com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
SMART PHONE COTA,Carrera 5 # 14-39,3017130023,3112482348,Servicio técnico tecnológico,No Responde,SI,Carlosbusto07@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,1,No,Acepto,No,Micro empresario
Smart Technologies,TV 4 # 12 - 09 local 106,3142038550,3174309007,Otro,Internet Hogar y negocio,SI,smarttech.l106@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
SmartPhone cota,Carrera 5 #14_39,3224325391,3175328619,Otro,Servicio técnico Acesorios ventas de cel recargas minutos,SI,Carolisrios33@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Soluciones moviles Ovalle,Cr 5#14-43 in2,3228328234,3187461736,"Servicio técnico electronico, venta de celulares y accesorios",No Responde,SI,edinson2608@gmail.com,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,7,No,Acepto,No,Comerciante
Soluciones Tecnologicas Continental,Cll 8 N 8 - 19,3185470981,0,Otro,"Desarrollo de porteles web gestion de bases de datos,servicios en la nube,soporte tecnico, consultorias en tecnologias , Mantenimiento y venta de equipos",SI,info.tecnologicas@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Soluciono.com,Calle 13 No. 4 -06 local 104,3184249599,3114199571,Otro,Servicios digitales y de oficina,SI,Soluciono.com@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
SPORT LEATHER COTA,Carrera 5 No 11-42,3057363657,0,Venta y Comercialización de Ropa,No Responde,SI,sportleatherc@gmail.com,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,9,No,Acepto,No,Comerciante
Sporttennissv,Pueblo viejo Bahia,3192078625,3197548890,Otro,Almacen deportivo,NO,Ivanvegavasquez2015@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Star flowers cota,Carrera 5#15-26,3192257288,8640047,Venta de rosa,No Responde,SI,Starflowerscota@gmail.com,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,1,No,Acepto,No,Comerciante
Stefania,Calle 13#4-64,3217251501,3204652869,Vender ropa,No Responde,NO,deisyceleita0526@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,3,No,Acepto,No,Comerciante
Suministro y. Dotaciones a y g,Calle 4 a. N 5/138,3112166580,0,Comercialización de prendas textil,No Responde,SI,estefaniguzman90@hotmail.com,1 a 5,Sí,Sí,Propio,No responde,9,Sí,Acepto,No,Comerciante
Super carnes,Cra 5 12#96,3138678676,0,Venta y desposte de productos cárnicos,No Responde,SI,Milenalj52@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,32,No,Acepto,No,Comerciante
SUPERMERCADO EL SAN JUAN,CALLE 13 # 4-14,8640343,3103025563,4711,No Responde,SI,dial89alfaro@hotmail.com,6 a 10,Sí,Sí,Arrendado,Entre 3.000.000 y 5.000.000,9,Sí,Acepto,No,Comerciante
Supermercado Rosita,Kilómetro 1.7 vía cota chía,3115726241,3223880086,Comerciante,No Responde,SI,Medellin413@gmail.com,O,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,9,No,Acepto,No,Comerciante
Supermercados maxi merkar,Carrera 5 # 13A71,8776052,3134431302,Tienda,No Responde,SI,Yobanheli@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Surtidora de aves 22,Carrera 5 6a19,8766079,3232362066,Restaurante,No Responde,SI,Wilson.rozo1496@gamil.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Surtidora de aves de cota,Cra5#14-44 cota Cundinamarca,3125671053,8640284,Restaurante,No Responde,SI,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
surtidora de aves de la quinta,carrera 5 # 15-01,3214013556,0,Expendido de comidas preparadas a la mesa,No Responde,SI,Lcoy713@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,1,No,Acepto,No,Comerciante
Surtidoradorado,KR 5 # 13 05,3112522706,0,Restaurante,No Responde,SI,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Surtimax cota San Miguel,CR 5 # 13a - 67,8985084,3216284752,Venta de alimentos,No Responde,SI,Gerencia 733@grupo-exito.com,11 a 20,Sí,Sí,Arrendado,Mayor a 5.000.000,5,Sí,Acepto,Sí,Comerciante
T-PLOTTER,Carrera 4 # 12-09 local 1,3188848055,3124519270,Impresión papeleria insumos corresponsal bancario,No Responde,NO,Plotcenter2018@gmail.com,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,1,No,Acepto,No,Comerciante
Taller de joyería artesanal...,Vrd pueblo viejo,3196183939,3196183838,Otro,Joyería.. artesanal,SI,jeimmy54@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Taller de latoneria y pintura,Calle 6 entrada frente salon comunal,3132041427,3118136579,Otro,Taller de pintura y latoneria,NO,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Taller y servicio de perdolas y encerramientos,Kl7viasiberiacota,3214622009,3184091596,Metalmecanica,No Responde,SI,Gilbermendez27@gmail.com,1 a 5,No,No,Arrendado,Entre 1.000.000 y 3.000.000,5,No,Acepto,No,Comerciante
TAPABOCAS,Calle 5#2A-36,+543214536478,+543214536478,Elaboración de tapabocas,No Responde,SI,merylu841@gmail.com,1 a 5,No,No,Propio,No responde,1,No,Acepto,No,Emprendedor
TAPICERIA AUTOMOTRIZ TAPIFORROS SAJU,CALLE 11 3 A 75,3115737642,3112017634,MANUFACTURERO,No Responde,NO,SADAJUCA104@HOTMAIL.COM,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,10,Sí,Acepto,No,Micro empresario
Tatiana Buitrago beauty care,Camellon de las flores,3136991868,0,Otro,Belleza y salud,NO,bftato@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
TeciAutos,Calle 9 # 3 a 46,3124394781,3124075703,Otro,Mantenimiento preventivo automotriz,SI,abdanieltm@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Tecnologia Liviana S. A. S.,Autopista Medellin km 2.5 PI portos Bodega 64,3164780870,3208464670,Suministro de materiales de construccion y servicios,No Responde,SI,tecnologialiviana@tecnologialiviana.com.co,11 a 20,Sí,Sí,Arrendado,Mayor a 5.000.000,10,Sí,Acepto,No,Empresario
TEMPORADAS,AVENIDA SUBA CALLE 11 # 3-35 LOCAL 10101,3135344877,3135345753,Otro,VENTA Y COMERCIALIZACIÓN DE PESCADOS,SI,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Tesoro Cosmética Natural,CALLE 8 #7-99,3195813854,0,Otro,Tesoro es una empresa dedicada a la creación y venta d eprodicyis naturales tanto para la cara y cuerpo,SI,Comercial@zeotropic.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Tevecentro,Calle 13#3-38 Piso2,3166000899,0,Otro,Medio de Comunicación,NO,tevecentrocolombia@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Thom pastelero,Vereda pueblo viejo,3007570098,3022700204,Elaboración de  comida y snacks,No Responde,SI,Arévalox6@gmail.com,1 a 5,No,No,Arrendado,Menor a 1.000.000,1,No,Acepto,No,Emprendedor
Tienda de barrio SyS,Calle 3# 4 56,3142316816,3132768706,Distribucion al x menor,No Responde,SI,Chonetaalfonso21@gmail.com,1 a 5,No,Sí,Arrendado,Menor a 1.000.000,5,No,Acepto,No,Comerciante
Tienda deportiva station shoes,Carrera 5 # 13-15 local 101 centro,3124445612,3203235298,Venta al por menor calzado y artículos deportivos,No Responde,NO,roberthalex24@hotmail.com,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,24,No,Acepto,No,Comerciante
Tienda El trebol,Carrera2 no 23-04,4123534320,3213814427,Venta de bebidas,No Responde,NO,Canceladamarlensofia@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,18,No,Acepto,No,Comerciante
TIENDA LA TUNY,Cra 2 con 2 lavadero mario acevedo pueblo v,3212675311,3134033092,Tienda,No Responde,NO,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Tienda los palomos,Vereda la Moya camello San Isidro,3223586421,0,Atención al cliente,No Responde,NO,Olga1112hernandez@gimilcom,Uno,No,No,Arrendado,Menor a 1.000.000,1,No,Acepto,No,Comerciante
Tienda naturista shalom,Calle 13a _4_06,3133074120,3213921175,Tienda,No Responde,NO,mariate.rodriguez@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Tienda Santa Marta,"VDA EL ABRA SEC CUATRO CAMINOS, VIA SAUNAS MEDICAS",3118337511,8641412,Comercialización de viveres en general,No Responde,NO,ceciliasb02@gmail.com,1 a 5,Sí,Sí,Propio,No responde,2008,No,Acepto,No,Comerciante
TORNIRAP SAS,AUT MEDKM 2.5 CENTRO EMPRESARIAL PORTOS SABANA 80 BOD 143,7560077,3017867195,Otro,COMERCIAL,SI,contabilidad@tonrirap.com.co,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Totto's sport,Carrera 4#12-68,3212335978,0,Venta de artículos y prendas deportivas,No Responde,SI,Dortizcarrero@gmail.com,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,2,No,Acepto,No,Comerciante
TRANSPORTES JAFMEN S.A.S,CRA 6 N° 10 -12,3213438871,3108581562,TRANSPORTE,No Responde,SI,jafmen@hotmail.com,6 a 10,Sí,Sí,Arrendado,Entre 3.000.000 y 5.000.000,6,Sí,Acepto,No,Micro empresario
Trapitos pañalera,Calle 13#3A-32,8766177,3192925749,Tienda,No Responde,NO,menitarubio@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
TRAYECTOS Y SERVICIOS,Carrera 3 # 10-09,3118814962,0,Otro,Transporte,SI,etvingenieria@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Tres potencias,Calle 11 3- 60,3138549949,0,Otro,Venta velones imágenes religiosas,NO,Rosalia1878@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
"Tres S Soluciones, servicios y suministros en HSE S.A.S",Carrera 6 No 13a-15,3112761717,0,Otro,"Servicios de fumigación, desinfección sanitaria, lavado de tanques de agua potable, control de plagas, venta y recarga de extintores, certificados Secretaria de salud Gobernación de Cundinamarca",SI,tresssoluciones@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Uki Cocina y Pastelería,Calle 13#4-05,3208490119,8965538,Restaurante,No Responde,SI,Ukicyp@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
UNIQUE,"Cra. 5 #7-80, Terracota",3125879166,0,Tienda,No Responde,NO,meluk135@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Unique Entertainment Sas,Conjunto Residencial Altos de Cetime casa 2A,3108136294,8641439,Otro,Productora de eventos,SI,uniqueenter@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Valentinet,Vereda cetime frente a la plaza de toros,3008890549,8640916,Otro,Miscelánea,NO,Valentinet1@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Variedades  Dim@r,Cr 5 No 10 60,3202862438,3143553049,Otro,Miscelánea,NO,dimasuca23@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Variedades Chanel,Calle 13 #3a 96,3143141892,0,Tienda,No Responde,NO,emmatorresl@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Variedades gabi,Cra4a cll 10,3022460559,3012156460,Otro,Papelería y miselania,SI,Taimbud.amanda@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Variedades Nicoll,Calle 13 # 4-70,3212032554,3212030789,Otro,"Almacén de pijamas, pantuflas,cobijas etc",SI,Lauragabrielavegaleon@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
vasconia express,crr 5 # 11 01,8787570,0,Panadería,No Responde,SI,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Venta de empanadas y pasteles a domicilio,Ambulante,3114882511,3125229134,Venta de empanadas y pasteles,No Responde,SI,dianapc20112011@hotmail.com,1 a 5,No,No,Arrendado,Menor a 1.000.000,4,No,Acepto,No,Emprendedor
Venta de garage Donde Nohe,Calle 14#6-15,3222734811,0,Otro,Venta de ropa de segunda mano,NO,amnohemicontrerascavo@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
VENTA DE SOAT (DOMICILIO )Y DISTRIBUCIÓN DE RECARGAS,VEREDA ROZO SECTOR EL HOYO FINCA SAMARIA,3214570243,3202660066,Otro,"Venta de SOAT para todo tipo de vehiculo (servicio a domicilio) ,distribucion de recargas para establecimientos",SI,jhonfiquia@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Venta de Trucha,Vereda cetime conjunto M. Beatriz,3195756888,0,Area de ventas,No Responde,SI,Juanmadbc08@gmail.com,1 a 5,No,No,Propio,No responde,1,No,Acepto,No,Emprendedor
Veterinaria y pet shop Happy Animals,"Camellon de las Flores, Centro comercial Villa Paula",3194383646,0,Otro,Veterinaria y pet shop,SI,Veterinario.edr@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
